age,education,education_num,marital_status,race,sex,income_over_50k
20,Some-college,10,Never-married,White,Male,FALSE
33,HS-grad,9,Divorced,White,Male,FALSE
30,Some-college,10,Never-married,Other,Male,FALSE
40,Bachelors,13,Never-married,Other,Female,FALSE
38,Some-college,10,Separated,White,Male,TRUE
46,Assoc-acdm,12,Divorced,White,Male,TRUE
29,Bachelors,13,Never-married,White,Female,TRUE
57,Bachelors,13,Never-married,White,Male,FALSE
39,HS-grad,9,Never-married,White,Male,TRUE
47,Bachelors,13,Divorced,White,Male,TRUE
26,Bachelors,13,Never-married,White,Male,TRUE
27,HS-grad,9,Never-married,White,Male,FALSE
23,Bachelors,13,Never-married,White,Female,TRUE
34,Masters,14,Never-married,White,Male,FALSE
33,12th,8,Divorced,White,Male,FALSE
38,Masters,14,Never-married,White,Female,FALSE
57,Some-college,10,Widowed,White,Female,TRUE
36,HS-grad,9,Never-married,White,Male,FALSE
44,Bachelors,13,Divorced,White,Male,TRUE
49,Doctorate,16,Never-married,White,Female,TRUE
44,Some-college,10,Never-married,White,Male,FALSE
55,Some-college,10,Widowed,White,Male,TRUE
45,HS-grad,9,Divorced,White,Male,TRUE
48,HS-grad,9,Divorced,White,Female,TRUE
31,Bachelors,13,Married,White,Male,TRUE
55,HS-grad,9,Married,White,Female,TRUE
70,Some-college,10,Married,White,Male,TRUE
70,Masters,14,Married,White,Male,TRUE
73,Bachelors,13,Married,White,Male,TRUE
72,Prof-school,15,Married,White,Male,TRUE
31,HS-grad,9,Separated,White,Female,FALSE
28,10th,6,Widowed,White,Female,FALSE
23,Bachelors,13,Never-married,White,Male,TRUE
49,9th,5,Widowed,White,Male,TRUE
27,Some-college,10,Never-married,White,Male,TRUE
90,HS-grad,9,Never-married,Black,Male,FALSE
68,HS-grad,9,Widowed,White,Female,FALSE
65,HS-grad,9,Divorced,White,Female,FALSE
65,HS-grad,9,Widowed,White,Female,FALSE
67,Bachelors,13,Divorced,White,Female,FALSE
66,Bachelors,13,Widowed,Black,Female,FALSE
24,Some-college,10,Never-married,White,Male,FALSE
44,Some-college,10,Divorced,White,Male,FALSE
35,Some-college,10,Never-married,White,Female,FALSE
20,Assoc-acdm,12,Never-married,White,Female,FALSE
38,HS-grad,9,Divorced,White,Male,FALSE
39,Some-college,10,Never-married,Black,Female,FALSE
32,Some-college,10,Never-married,White,Female,FALSE
42,7th-8th,4,Never-married,Black,Male,FALSE
63,HS-grad,9,Divorced,White,Female,FALSE
42,Masters,14,Divorced,Other,Male,TRUE
64,11th,7,Married,White,Male,FALSE
28,7th-8th,4,Married,Other,Male,FALSE
41,Assoc-voc,11,Married,Other,Male,FALSE
41,7th-8th,4,Married,White,Male,FALSE
58,1st-4th,2,Married,White,Male,FALSE
59,Some-college,10,Married,White,Male,FALSE
34,HS-grad,9,Married,White,Female,FALSE
45,HS-grad,9,Married,White,Male,FALSE
29,HS-grad,9,Married,White,Female,FALSE
47,10th,6,Married,White,Male,FALSE
40,Some-college,10,Married,White,Male,FALSE
47,5th-6th,3,Married,White,Male,FALSE
63,Bachelors,13,Married,White,Male,FALSE
41,HS-grad,9,Married,White,Male,FALSE
34,Some-college,10,Married,Black,Male,FALSE
66,Bachelors,13,Married,White,Male,TRUE
65,Some-college,10,Married,White,Male,TRUE
70,HS-grad,9,Married,White,Male,TRUE
75,Prof-school,15,Married,White,Male,TRUE
65,HS-grad,9,Married,White,Male,TRUE
65,Some-college,10,Married,Black,Male,TRUE
73,Some-college,10,Married,White,Male,TRUE
60,Bachelors,13,Married,Other,Male,FALSE
68,Assoc-voc,11,Married,White,Male,FALSE
74,HS-grad,9,Married,White,Male,FALSE
43,5th-6th,3,Married,Other,Female,FALSE
19,11th,7,Married,White,Male,FALSE
37,HS-grad,9,Married,White,Male,FALSE
45,Assoc-acdm,12,Divorced,Other,Male,FALSE
64,Masters,14,Married,Other,Male,FALSE
30,HS-grad,9,Married,White,Male,FALSE
51,Some-college,10,Married,White,Female,FALSE
35,11th,7,Married,White,Male,FALSE
29,HS-grad,9,Married,White,Female,FALSE
34,Some-college,10,Married,White,Female,FALSE
41,HS-grad,9,Married,White,Male,FALSE
35,Some-college,10,Married,White,Male,FALSE
26,Some-college,10,Married,White,Male,FALSE
54,HS-grad,9,Married,White,Male,FALSE
52,HS-grad,9,Married,White,Male,FALSE
50,HS-grad,9,Married,White,Male,FALSE
31,Some-college,10,Married,White,Male,FALSE
38,HS-grad,9,Married,White,Male,FALSE
30,Some-college,10,Married,White,Male,FALSE
34,Bachelors,13,Married,White,Male,FALSE
31,Some-college,10,Married,White,Male,FALSE
52,HS-grad,9,Married,White,Male,FALSE
54,HS-grad,9,Married,White,Male,FALSE
38,HS-grad,9,Married,White,Male,FALSE
39,HS-grad,9,Married,White,Male,FALSE
29,Assoc-voc,11,Married,White,Male,FALSE
45,HS-grad,9,Married,White,Male,FALSE
34,HS-grad,9,Married,White,Male,FALSE
38,HS-grad,9,Married,White,Male,FALSE
39,10th,6,Married,White,Male,FALSE
61,HS-grad,9,Married,White,Male,FALSE
43,11th,7,Married,White,Male,FALSE
35,Some-college,10,Married,White,Male,FALSE
46,Some-college,10,Married,White,Male,FALSE
38,HS-grad,9,Married,White,Male,FALSE
42,HS-grad,9,Married,White,Male,FALSE
34,Assoc-acdm,12,Married,White,Male,FALSE
29,7th-8th,4,Married,White,Male,FALSE
32,11th,7,Married,White,Male,FALSE
60,HS-grad,9,Married,White,Male,FALSE
49,HS-grad,9,Married,White,Male,FALSE
53,HS-grad,9,Married,White,Male,FALSE
56,7th-8th,4,Married,White,Male,FALSE
48,11th,7,Married,White,Male,FALSE
32,Bachelors,13,Married,Other,Male,FALSE
42,HS-grad,9,Married,White,Male,FALSE
32,Assoc-acdm,12,Married,White,Male,FALSE
28,Assoc-acdm,12,Married,White,Male,FALSE
26,Assoc-voc,11,Married,White,Male,FALSE
59,Bachelors,13,Married,White,Male,FALSE
47,Bachelors,13,Married,White,Male,FALSE
26,Bachelors,13,Married,White,Male,FALSE
41,HS-grad,9,Married,White,Male,FALSE
36,HS-grad,9,Married,White,Female,FALSE
45,Bachelors,13,Married,White,Male,FALSE
30,Assoc-acdm,12,Married,White,Male,FALSE
36,HS-grad,9,Married,White,Male,FALSE
34,HS-grad,9,Married,White,Male,FALSE
53,HS-grad,9,Married,White,Male,FALSE
51,HS-grad,9,Married,White,Male,FALSE
47,Doctorate,16,Married,White,Male,FALSE
19,HS-grad,9,Never-married,White,Male,FALSE
30,HS-grad,9,Never-married,White,Male,FALSE
20,HS-grad,9,Never-married,White,Male,FALSE
42,Masters,14,Divorced,White,Male,FALSE
31,11th,7,Never-married,White,Male,FALSE
33,Bachelors,13,Never-married,White,Male,FALSE
25,Assoc-acdm,12,Never-married,White,Female,FALSE
20,HS-grad,9,Never-married,White,Male,FALSE
23,HS-grad,9,Never-married,Black,Male,FALSE
55,HS-grad,9,Separated,Black,Female,FALSE
41,Some-college,10,Divorced,White,Male,FALSE
54,HS-grad,9,Widowed,White,Male,FALSE
25,HS-grad,9,Never-married,White,Male,FALSE
19,Some-college,10,Never-married,White,Female,FALSE
24,HS-grad,9,Never-married,White,Female,FALSE
56,Bachelors,13,Never-married,Black,Male,FALSE
21,Some-college,10,Never-married,White,Female,FALSE
34,HS-grad,9,Never-married,Black,Male,FALSE
19,HS-grad,9,Never-married,White,Male,FALSE
21,Some-college,10,Never-married,White,Male,FALSE
48,HS-grad,9,Separated,White,Female,FALSE
34,Bachelors,13,Never-married,White,Male,FALSE
31,HS-grad,9,Never-married,White,Male,FALSE
36,HS-grad,9,Never-married,Black,Female,FALSE
27,HS-grad,9,Never-married,White,Male,FALSE
27,Some-college,10,Never-married,Other,Male,FALSE
35,Bachelors,13,Divorced,White,Female,FALSE
31,Bachelors,13,Married,White,Male,FALSE
27,HS-grad,9,Never-married,Black,Male,FALSE
28,Assoc-acdm,12,Never-married,White,Female,FALSE
42,HS-grad,9,Divorced,White,Male,FALSE
44,Some-college,10,Separated,White,Male,FALSE
41,Bachelors,13,Divorced,White,Male,FALSE
28,Bachelors,13,Never-married,White,Female,FALSE
41,HS-grad,9,Never-married,White,Female,FALSE
35,10th,6,Widowed,Black,Female,FALSE
58,Masters,14,Divorced,White,Female,FALSE
40,HS-grad,9,Divorced,White,Male,FALSE
31,Assoc-voc,11,Never-married,White,Male,FALSE
30,HS-grad,9,Never-married,White,Female,FALSE
32,Some-college,10,Separated,Other,Male,FALSE
25,Some-college,10,Never-married,White,Male,FALSE
34,HS-grad,9,Never-married,White,Male,FALSE
56,Some-college,10,Divorced,White,Female,FALSE
45,HS-grad,9,Divorced,White,Male,FALSE
50,HS-grad,9,Never-married,White,Male,FALSE
27,10th,6,Never-married,White,Male,FALSE
51,Some-college,10,Married,White,Male,TRUE
40,Assoc-acdm,12,Married,White,Male,TRUE
41,Masters,14,Married,White,Male,TRUE
49,Masters,14,Married,White,Male,TRUE
37,Assoc-voc,11,Married,White,Male,TRUE
36,Bachelors,13,Married,White,Female,TRUE
35,Prof-school,15,Married,White,Male,TRUE
29,HS-grad,9,Married,White,Female,TRUE
50,Bachelors,13,Married,White,Female,TRUE
46,Bachelors,13,Married,White,Male,TRUE
44,HS-grad,9,Married,White,Male,TRUE
42,Masters,14,Married,White,Male,TRUE
38,Prof-school,15,Married,White,Male,TRUE
45,Bachelors,13,Married,White,Male,TRUE
43,Masters,14,Married,White,Male,TRUE
47,Prof-school,15,Married,White,Male,TRUE
58,Prof-school,15,Married,White,Male,TRUE
48,Prof-school,15,Married,White,Male,TRUE
42,Bachelors,13,Married,White,Male,TRUE
55,Masters,14,Married,White,Male,TRUE
51,10th,6,Married,White,Male,TRUE
32,Masters,14,Married,Black,Male,TRUE
45,Bachelors,13,Married,White,Male,TRUE
56,Masters,14,Married,White,Male,TRUE
38,Masters,14,Married,White,Male,TRUE
45,Assoc-voc,11,Married,White,Male,TRUE
49,Masters,14,Married,White,Female,TRUE
36,HS-grad,9,Married,White,Male,TRUE
49,Masters,14,Married,White,Male,TRUE
30,Doctorate,16,Married,Other,Male,TRUE
42,Prof-school,15,Married,White,Male,TRUE
55,Masters,14,Married,White,Male,TRUE
34,Bachelors,13,Married,White,Male,TRUE
54,Doctorate,16,Married,White,Male,TRUE
42,Bachelors,13,Married,White,Male,TRUE
25,Bachelors,13,Married,White,Male,TRUE
55,HS-grad,9,Married,White,Male,TRUE
58,Masters,14,Married,White,Male,TRUE
62,HS-grad,9,Married,White,Male,TRUE
43,Prof-school,15,Married,White,Male,TRUE
57,Masters,14,Married,Black,Female,TRUE
42,Doctorate,16,Married,White,Male,TRUE
63,Bachelors,13,Married,Other,Male,TRUE
47,Prof-school,15,Married,White,Male,TRUE
37,Bachelors,13,Married,White,Male,TRUE
40,Bachelors,13,Married,White,Male,TRUE
43,Bachelors,13,Married,White,Male,TRUE
43,Prof-school,15,Married,White,Male,TRUE
41,Prof-school,15,Married,White,Male,TRUE
32,Prof-school,15,Married,White,Male,TRUE
47,Bachelors,13,Married,White,Male,TRUE
39,Some-college,10,Married,White,Male,TRUE
53,Some-college,10,Married,White,Male,TRUE
34,Bachelors,13,Married,White,Male,TRUE
36,Bachelors,13,Married,White,Male,TRUE
47,Masters,14,Married,White,Male,TRUE
52,Assoc-voc,11,Married,White,Male,TRUE
40,Prof-school,15,Married,Other,Male,TRUE
42,Bachelors,13,Married,White,Male,TRUE
51,Masters,14,Married,White,Male,TRUE
55,Masters,14,Married,White,Male,TRUE
38,HS-grad,9,Married,White,Male,TRUE
52,Some-college,10,Married,White,Male,TRUE
60,HS-grad,9,Married,White,Male,TRUE
55,Assoc-voc,11,Married,White,Male,TRUE
47,Masters,14,Married,Black,Male,TRUE
46,Masters,14,Married,White,Male,TRUE
35,Masters,14,Married,White,Male,TRUE
59,Bachelors,13,Married,White,Male,TRUE
57,Masters,14,Married,White,Male,TRUE
46,Some-college,10,Married,White,Male,TRUE
46,Masters,14,Married,White,Male,TRUE
52,HS-grad,9,Married,White,Male,TRUE
45,Doctorate,16,Married,White,Female,TRUE
37,Bachelors,13,Married,White,Male,TRUE
46,Masters,14,Married,White,Male,TRUE
44,Bachelors,13,Married,Black,Male,TRUE
45,Assoc-voc,11,Married,White,Male,TRUE
43,HS-grad,9,Married,White,Male,TRUE
54,Masters,14,Married,White,Male,TRUE
50,Masters,14,Married,White,Male,TRUE
51,Bachelors,13,Married,White,Male,TRUE
45,Bachelors,13,Married,White,Male,TRUE
36,Masters,14,Married,White,Male,TRUE
27,Bachelors,13,Married,White,Male,TRUE
36,Bachelors,13,Married,White,Male,TRUE
53,Masters,14,Married,White,Male,TRUE
51,Masters,14,Married,White,Male,TRUE
28,Bachelors,13,Married,White,Female,TRUE
47,Some-college,10,Married,White,Male,TRUE
45,Bachelors,13,Married,White,Male,TRUE
45,Masters,14,Married,White,Female,TRUE
39,Prof-school,15,Married,White,Male,TRUE
39,Bachelors,13,Married,White,Male,TRUE
55,Masters,14,Married,White,Male,TRUE
62,Some-college,10,Married,White,Male,TRUE
49,Bachelors,13,Married,Other,Male,TRUE
53,Masters,14,Married,White,Male,TRUE
31,Masters,14,Married,White,Male,TRUE
42,HS-grad,9,Married,White,Male,TRUE
39,Bachelors,13,Married,White,Male,TRUE
60,Bachelors,13,Married,White,Male,TRUE
26,Prof-school,15,Married,White,Male,TRUE
37,Masters,14,Married,White,Male,TRUE
45,Bachelors,13,Married,White,Male,TRUE
37,Assoc-acdm,12,Married,White,Male,TRUE
32,Bachelors,13,Married,White,Male,TRUE
39,HS-grad,9,Married,White,Male,TRUE
58,10th,6,Married,White,Female,TRUE
45,Masters,14,Married,White,Male,TRUE
41,Bachelors,13,Married,White,Male,TRUE
36,HS-grad,9,Married,White,Male,TRUE
51,Masters,14,Married,White,Male,TRUE
39,Some-college,10,Married,White,Male,TRUE
56,Prof-school,15,Married,White,Male,TRUE
53,HS-grad,9,Married,Black,Male,TRUE
40,Assoc-voc,11,Married,White,Female,TRUE
57,Masters,14,Married,Black,Male,TRUE
50,HS-grad,9,Married,White,Male,TRUE
34,Prof-school,15,Married,White,Male,TRUE
35,Bachelors,13,Married,White,Female,TRUE
30,HS-grad,9,Married,White,Male,TRUE
53,Masters,14,Married,White,Male,TRUE
31,Doctorate,16,Married,White,Male,TRUE
37,Bachelors,13,Married,White,Male,TRUE
34,Bachelors,13,Married,White,Male,TRUE
36,Masters,14,Married,White,Male,TRUE
40,Bachelors,13,Married,White,Male,TRUE
51,Some-college,10,Married,White,Male,TRUE
33,HS-grad,9,Married,White,Male,TRUE
40,Doctorate,16,Married,White,Female,TRUE
50,7th-8th,4,Married,White,Male,TRUE
46,Masters,14,Married,White,Male,TRUE
54,Doctorate,16,Married,White,Male,TRUE
39,Masters,14,Married,White,Female,TRUE
54,Some-college,10,Married,White,Male,TRUE
31,Doctorate,16,Married,White,Male,TRUE
51,Masters,14,Married,White,Male,TRUE
55,Doctorate,16,Married,White,Male,TRUE
36,Masters,14,Married,White,Male,TRUE
41,Bachelors,13,Married,Other,Male,TRUE
56,Some-college,10,Married,White,Female,TRUE
38,Bachelors,13,Married,White,Male,TRUE
47,HS-grad,9,Married,White,Male,TRUE
39,Masters,14,Married,White,Male,TRUE
59,Bachelors,13,Married,White,Male,TRUE
54,Doctorate,16,Married,White,Male,TRUE
54,Bachelors,13,Married,White,Female,TRUE
31,Bachelors,13,Married,White,Male,TRUE
59,Some-college,10,Married,White,Male,TRUE
46,Masters,14,Married,White,Male,TRUE
57,Doctorate,16,Married,White,Male,TRUE
36,Masters,14,Married,White,Female,TRUE
44,Bachelors,13,Married,White,Male,TRUE
33,Prof-school,15,Married,White,Male,TRUE
54,Some-college,10,Married,White,Male,TRUE
55,Masters,14,Married,White,Male,TRUE
36,Masters,14,Married,White,Male,TRUE
49,Prof-school,15,Married,White,Female,TRUE
41,Prof-school,15,Married,White,Male,TRUE
40,Doctorate,16,Married,Other,Male,TRUE
43,Bachelors,13,Married,White,Male,TRUE
39,Masters,14,Married,White,Female,TRUE
26,Bachelors,13,Married,White,Female,TRUE
48,Prof-school,15,Married,White,Male,TRUE
43,Bachelors,13,Married,White,Male,TRUE
42,Bachelors,13,Married,White,Male,TRUE
36,Bachelors,13,Married,White,Male,TRUE
39,Masters,14,Never-married,White,Male,FALSE
21,Some-college,10,Never-married,Other,Male,FALSE
23,Some-college,10,Never-married,White,Female,FALSE
47,HS-grad,9,Divorced,White,Female,FALSE
30,HS-grad,9,Never-married,White,Female,FALSE
35,Some-college,10,Never-married,White,Male,FALSE
26,Some-college,10,Never-married,White,Female,FALSE
26,Bachelors,13,Never-married,White,Male,FALSE
41,Masters,14,Divorced,White,Male,FALSE
30,Some-college,10,Never-married,Black,Male,FALSE
28,HS-grad,9,Separated,White,Male,FALSE
56,HS-grad,9,Widowed,White,Female,FALSE
35,HS-grad,9,Never-married,White,Male,FALSE
34,Assoc-voc,11,Never-married,White,Female,FALSE
29,HS-grad,9,Never-married,White,Male,FALSE
23,Assoc-acdm,12,Never-married,White,Female,FALSE
24,HS-grad,9,Never-married,White,Female,FALSE
62,Some-college,10,Divorced,White,Male,FALSE
77,Some-college,10,Widowed,White,Female,FALSE
47,Prof-school,15,Married,White,Female,TRUE
48,Doctorate,16,Married,White,Male,TRUE
42,Prof-school,15,Married,White,Male,TRUE
31,Masters,14,Married,White,Male,TRUE
43,Bachelors,13,Married,White,Male,TRUE
50,Doctorate,16,Married,White,Male,TRUE
36,Bachelors,13,Married,White,Male,TRUE
49,Masters,14,Married,White,Male,TRUE
38,HS-grad,9,Married,White,Male,TRUE
48,Doctorate,16,Married,White,Female,TRUE
46,Bachelors,13,Married,White,Male,TRUE
56,HS-grad,9,Married,White,Male,TRUE
37,HS-grad,9,Married,White,Male,TRUE
51,HS-grad,9,Married,Black,Male,TRUE
43,Masters,14,Married,White,Male,TRUE
46,HS-grad,9,Married,White,Male,FALSE
42,Masters,14,Married,White,Male,TRUE
45,Some-college,10,Married,White,Female,TRUE
23,Some-college,10,Married,White,Male,FALSE
45,Bachelors,13,Married,White,Male,TRUE
30,HS-grad,9,Married,White,Male,FALSE
49,Doctorate,16,Married,Black,Male,TRUE
49,Assoc-acdm,12,Married,White,Female,TRUE
57,Prof-school,15,Married,Other,Male,TRUE
42,Bachelors,13,Married,White,Male,TRUE
43,Some-college,10,Married,White,Female,TRUE
43,Some-college,10,Married,White,Male,TRUE
42,Prof-school,15,Married,White,Male,TRUE
53,Bachelors,13,Married,White,Male,TRUE
40,Masters,14,Married,White,Male,TRUE
46,Masters,14,Married,White,Male,TRUE
41,Bachelors,13,Married,White,Male,TRUE
49,Bachelors,13,Married,White,Male,TRUE
31,Bachelors,13,Married,White,Male,TRUE
34,Masters,14,Married,White,Male,TRUE
40,Masters,14,Married,Other,Male,TRUE
50,Some-college,10,Married,White,Female,TRUE
54,HS-grad,9,Married,Other,Male,TRUE
49,Some-college,10,Married,White,Male,TRUE
44,Masters,14,Married,White,Female,TRUE
57,Bachelors,13,Married,White,Male,TRUE
28,Masters,14,Married,White,Female,FALSE
57,Some-college,10,Married,White,Male,TRUE
59,Bachelors,13,Married,White,Male,TRUE
38,Assoc-acdm,12,Married,White,Female,TRUE
36,HS-grad,9,Married,White,Male,TRUE
55,Some-college,10,Married,White,Male,TRUE
34,HS-grad,9,Married,White,Male,TRUE
51,Some-college,10,Married,White,Male,TRUE
46,HS-grad,9,Married,White,Male,TRUE
33,Masters,14,Married,White,Male,TRUE
31,Bachelors,13,Married,White,Female,TRUE
31,Bachelors,13,Married,White,Female,TRUE
59,HS-grad,9,Married,White,Male,TRUE
48,Assoc-acdm,12,Married,White,Male,TRUE
33,Bachelors,13,Married,White,Male,TRUE
46,Some-college,10,Married,White,Male,TRUE
53,Bachelors,13,Married,Black,Male,TRUE
39,Masters,14,Married,White,Female,TRUE
44,HS-grad,9,Married,White,Male,TRUE
45,Masters,14,Married,White,Male,TRUE
42,Bachelors,13,Married,White,Male,TRUE
24,7th-8th,4,Married,White,Male,TRUE
57,Bachelors,13,Married,White,Male,TRUE
